name,price,balls_faced,runs,30s,50s,ducks,6s,4s,3s,2s,1s,outs,tournament_sr,tournament_avg,bat_pi_1,hard_hitter,rbw,finisher,bat_pi_5,bat_pi_7,bat_pi_8
Y Bhatia,150,191,214,4,0,0,2,35,0,4,50,10,112.0418848,21.4,23.97696335,0.795811518,0.402597403,0,133.4418848,2397.696335,74.06938657
H Matthews,40,215,271,3,1,1,10,33,0,6,65,9,126.0465116,30.11111111,37.95400517,0.893023256,0.459302326,0.1,156.1576227,3795.400517,88.1210815
S Meghana,30,81,81,1,0,1,0,14,0,2,21,6,100,13.5,13.5,0.691358025,0.373134328,0,113.5,1350,60.61546514
B Mooney,200,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
H Deol,40,161,202,2,1,1,2,29,0,6,62,7,125.4658385,28.85714286,36.20585626,0.795031056,0.569230769,0.125,154.3229814,3620.585626,86.88753019
D Hemalatha,30,96,151,0,1,0,8,15,0,3,37,5,157.2916667,30.2,47.50208333,1.125,0.589041096,0.375,187.4916667,4750.208333,104.1192477
M Lanning,110,248,345,4,2,0,6,49,0,11,87,7,139.1129032,49.28571429,68.56278802,0.935483871,0.585492228,0.222222222,188.3986175,6856.278802,107.3262177
S Verma,200,136,252,1,2,1,13,32,0,5,36,8,185.2941176,31.5,58.36764706,1.514705882,0.505494505,0.111111111,216.7941176,5836.764706,118.9799721
S Verma,200,53,42,0,0,0,0,4,0,1,24,2,79.24528302,21,16.64150943,0.301886792,0.530612245,0.6,100.245283,1664.150943,56.85712416
J Rodrigues,220,98,126,2,0,0,0,15,1,6,51,5,128.5714286,25.2,32.4,0.612244898,0.795180723,0.285714286,153.7714286,3240,85.54772945
S Mandhana,340,134,149,2,0,1,3,21,0,4,35,8,111.1940299,18.625,20.70988806,0.76119403,0.427272727,0,129.8190299,2070.988806,71.1353009
D Kasat,10,18,11,0,0,1,0,1,0,0,7,3,61.11111111,3.666666667,2.240740741,0.222222222,0.411764706,0,64.77777778,224.0740741,30.24530669
R Ghosh,190,102,138,2,0,0,7,14,0,2,36,6,135.2941176,23,31.11764706,0.960784314,0.49382716,0.142857143,158.2941176,3111.764706,86.87426534
H Knight,40,96,135,2,0,1,3,18,0,3,39,6,140.625,22.5,31.640625,0.9375,0.6,0.25,163.125,3164.0625,88.93905919
A Healy,70,179,253,1,2,0,3,41,1,6,56,8,141.3407821,31.625,44.69902235,1.016759777,0.525925926,0.111111111,172.9657821,4469.902235,97.20939745
K Navgire,30,135,155,1,1,0,8,15,0,5,37,8,114.8148148,19.375,22.24537037,0.8,0.419642857,0,134.1898148,2224.537037,73.58831777
S Shaikh,10,48,29,0,0,2,0,2,0,1,19,5,60.41666667,5.8,3.504166667,0.166666667,0.456521739,0.285714286,66.21666667,350.4166667,33.62982201
T Bhatia,30,15,5,0,0,1,0,0,0,0,5,3,33.33333333,1.666666667,0.555555556,0,0.333333333,0,35,55.55555556,15.76236015
L Wolvaardt,30,102,143,0,2,0,5,16,0,3,43,4,140.1960784,35.75,50.12009804,0.921568627,0.604938272,0,175.9460784,5012.009804,99.62559102
P Khemnar,10,4,2,0,0,0,0,0,0,0,2,1,50,2,1,0,0.5,0,52,100,22.36067977
D Gujjar,10,4,4,0,0,0,0,0,0,1,2,1,100,4,4,0,1,0.5,104,400,44.72135955
